id,source_feature_id,target_feature_id,dependency_type,description,license_control_item,source_type,conflict_pair_id
GWFD-010104:dep:GWFD-010224,GWFD-010104,GWFD-010224,depends_on,UDG 向SMF上报用户面地址分配能力以及SMF指示 UDG 进行地址分配都依赖于N4接口的交互。使用本特性需要使用N4接口特性。,无,overview_explicit,
GWFD-010104:dep:GWFD-010233,GWFD-010104,GWFD-010233,depends_on,UDG 向PGW-C上报用户面地址分配能力以及PGW-C指示 UDG 进行地址分配都依赖于Sxb接口的交互。使用本地址需要使用Sxb接口特性。,无,overview_explicit,
GWFD-010105:dep:GWFD-010224,GWFD-010105,GWFD-010224,depends_on,5G场景下， UDG 向C面上报用户面地址分配能力以及C面指示 UDG 进行地址分配依赖于N4接口的交互。使用本特性需要使用N4接口特性。,无,overview_explicit,
GWFD-010105:dep:GWFD-010233,GWFD-010105,GWFD-010233,depends_on,4G场景下， UDG 向C面上报用户面地址分配能力以及C面指示 UDG 进行地址分配依赖于Sxb接口的交互。使用本特性需要使用Sxb接口特性。,无,overview_explicit,
GWFD-010107:dep:IPFD-015000,GWFD-010107,IPFD-015000,depends_on,静态地址路由冗余需要配置GRE隧道，因此依赖于GRE特性。,无,overview_explicit,
GWFD-010107:dep:GWFD-010108,GWFD-010107,GWFD-010108,conflicts_with,静态地址路由冗余功能正常，静态地址用户不能做用户面地址自动探测，不影响业务功能。,-,overview_explicit,conflict:GWFD-010107-GWFD-010108
GWFD-010108:dep:GWFD-010105,GWFD-010108,GWFD-010105,depends_on,该特性仅在 UDG 采用本地地址池分配IP地址时使用，因此使用本特性需要依赖于用户面地址分配特性。,无,overview_explicit,
GWFD-010108:dep:GWFD-010107,GWFD-010108,GWFD-010107,conflicts_with,该特性不支持与静态地址用户路由冗余同时应用。,无,overview_explicit,conflict:GWFD-010107-GWFD-010108
GWFD-010108:dep:GWFD-110910,GWFD-010108,GWFD-110910,conflicts_with,该特性不支持与Routing Behind MS同时应用。,82200CKP LKV3G5RBMS01 支持Routing Behind MS,overview_explicit,conflict:GWFD-010108-GWFD-110910
GWFD-010108:dep:GWFD-020406,GWFD-010108,GWFD-020406,conflicts_with,该特性不支持与IPv6 Prefix Delegation同时应用。,82200CKF LKV3G5P6PD01 IPv6 Prefix Delegation,overview_explicit,conflict:GWFD-010108-GWFD-020406
GWFD-010108:dep:GWFD-020412,GWFD-010108,GWFD-020412,conflicts_with,该特性不支持与L2TP VPN同时应用。,82200BVC LKV3G5L2TP01 L2TP VPN,overview_explicit,conflict:GWFD-010108-GWFD-020412
GWFD-010155:dep:GWFD-020531,GWFD-010155,GWFD-020531,conflicts_with,通用DNN漫游分流只支持4G/5G接入，不支持其他接入方式。,82200GCJ LKV3G5STCA01 移动VPN智能分流园区接入,overview_explicit,conflict:GWFD-010155-GWFD-020531
GWFD-010221:dep:GWFD-020405,GWFD-010221,GWFD-020405,depends_on,N3接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010222:dep:GWFD-020402,GWFD-010222,GWFD-020402,depends_on,N6接口数据面信息需要IPv6承载时，需要启用N6/Gi/SGi接口IPv6组网功能。,81203213 N6/Gi/SGi接口IPv6组网,overview_explicit,
GWFD-010223:dep:GWFD-020405,GWFD-010223,GWFD-020405,depends_on,N9接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010224:dep:GWFD-020405,GWFD-010224,GWFD-020405,depends_on,N4接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010225:dep:GWFD-020402,GWFD-010225,GWFD-020402,depends_on,SGi接口数据面信息需要IPv6承载时，需要启用N6/Gi/SGi接口IPv6组网功能。,81203213 N6/Gi/SGi接口IPv6组网,overview_explicit,
GWFD-010226:dep:GWFD-020405,GWFD-010226,GWFD-020405,depends_on,Gn接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010227:dep:GWFD-020405,GWFD-010227,GWFD-020405,depends_on,Gp接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010228:dep:GWFD-020405,GWFD-010228,GWFD-020405,depends_on,S1-U接口信息需要IPv6承载时，需要启用逻辑接口支持IPv6功能。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010229:dep:GWFD-020405,GWFD-010229,GWFD-020405,depends_on,S5接口信息需要IPv6承载时，需要启用逻辑接口支持IPv6功能。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010230:dep:GWFD-020405,GWFD-010230,GWFD-020405,depends_on,S8接口信息需要IPv6承载时，需要启用逻辑接口支持IPv6功能。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010231:dep:GWFD-020402,GWFD-010231,GWFD-020402,depends_on,Gi接口数据面信息需要IPv6承载时，需要启用N6/Gi/SGi接口IPv6组网功能。,81203213 N6/Gi/SGi接口IPv6组网,overview_explicit,
GWFD-010232:dep:GWFD-020405,GWFD-010232,GWFD-020405,depends_on,Sxa接口需要IPv6承载时，需要启用逻辑接口支持IPv6特性。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010233:dep:GWFD-020405,GWFD-010233,GWFD-020405,depends_on,Sxb接口信息需要IPv6承载时，需要启用逻辑接口支持IPv6功能。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010235:dep:GWFD-020351,GWFD-010235,GWFD-020351,depends_on,需要 PGW-U/UPF 或 PGW-C/SMF 发起创建any to any GBR专有承载的流程。因此，需开启PCC基本功能后才能使用本功能。,82209825 PCC基本功能,overview_explicit,
GWFD-010236:dep:GWFD-020405,GWFD-010236,GWFD-020405,depends_on,S2b接口信息需要IPv6承载时，需要启用逻辑接口支持IPv6功能。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010237:dep:GWFD-020405,GWFD-010237,GWFD-020405,depends_on,S11-U接口信息需要IPv6承载时，需要启用逻辑接口支持IPv6功能。,81203214 逻辑接口支持IPv6,overview_explicit,
GWFD-010296:dep:GWFD-110601,GWFD-010296,GWFD-110601,affects,本特性与NB-IoT eDRX模式共同开启，可以使能NB-IoT eDRX功能。,82200CKC NB-IoT eDRX模式,overview_explicit,
GWFD-010296:dep:GWFD-110607,GWFD-010296,GWFD-110607,affects,本特性与Non-IP数据传输共同开启，可以使能NB-IoT的Non-IP数据传输功能。,82200CKH Non-IP数据传输,overview_explicit,
GWFD-010296:dep:GWFD-110606,GWFD-010296,GWFD-110606,affects,本特性与基于信令面的数据传输共同开启，可以使能NB-IoT基于信令面数据传输功能。,82200CKD 基于信令面的数据传输,overview_explicit,
GWFD-010296:dep:GWFD-110611,GWFD-010296,GWFD-110611,affects,本特性与基于APN的NB-IoT终端接入速率控制共同开启，可以使能基于APN的NB-IoT终端接入速率控制功能。,82200CKJ 基于APN的NB-IoT终端接入速率控制,overview_explicit,
GWFD-010296:dep:GWFD-110612,GWFD-010296,GWFD-110612,affects,本特性与基于服务PLMN的NB-IoT终端接入速率控制共同开启，可以使能基于服务PLMN的NB-IoT终端接入速率控制功能。,82200CKK 基于服务PLMN的NB-IoT终端接入速率控制,overview_explicit,
GWFD-020161:dep:GWFD-010224,GWFD-020161,GWFD-010224,depends_on,CU Full Mesh组网在原有N4/Sx接口的PFCP协议上进行增强，因此使用本特性需要依赖N4/Sx接口特性。,无,overview_explicit,
GWFD-020161:dep:GWFD-010105,GWFD-020161,GWFD-010105,interacts_with,Full Mesh场景下，使用 UDG 分配IP地址不用考虑分配到同一U面的地址冲突问题，部署运维更简化。,无,overview_explicit,
GWFD-020251:dep:GWFD-020351,GWFD-020251,GWFD-020351,depends_on,如果需要PCRF通过SGW-C/PGW-C下发QoS策略给 SGW-U/PGW-U ，开启PCC基本功能。,82209825 PCC 基本功能,overview_explicit,
GWFD-020252:dep:GWFD-020251,GWFD-020252,GWFD-020251,depends_on,需要 UDG 侧开启VoLTE基础语音业务，才能启用SRVCC特性。,82209873 VoLTE基础语音业务,overview_explicit,
GWFD-020252:dep:GWFD-020351,GWFD-020252,GWFD-020351,depends_on,需要 UDG 侧开启PCC基本功能特性，才能启用SRVCC特性。,82209825 PCC 基本功能,overview_explicit,
GWFD-020253:dep:GWFD-020251,GWFD-020253,GWFD-020251,depends_on,P-CSCF故障时IMS业务恢复特性作为IMS接入的特性，必须开启IMS接入特性。,82209873; VoLTE基础语音业务,overview_explicit,
GWFD-020253:dep:GWFD-020351,GWFD-020253,GWFD-020351,depends_on,P-CSCF故障时IMS业务恢复特性必须有PCRF/PCF的部署支撑，必须开启PCC基本功能。,82209825 PCC基本功能,overview_explicit,
GWFD-020254:dep:GWFD-020251,GWFD-020254,GWFD-020251,depends_on,该特性需要先开通VoLTE基础语音业务。,82209873; VoLTE基础语音业务,overview_explicit,
GWFD-020254:dep:GWFD-020351,GWFD-020254,GWFD-020351,depends_on,VoLTE业务快速恢复特性必须有PCRF的部署支撑，必须开启PCC基本功能。,82209825 PCC 基本功能,overview_explicit,
GWFD-020282:dep:GWFD-020251,GWFD-020282,GWFD-020251,depends_on,需要 UDG 侧开启VoLTE基础语音业务，才能启用EPS Fallback特性。,82209873 VoLTE基础语音业务,overview_explicit,
GWFD-020282:dep:GWFD-010154,GWFD-020282,GWFD-010154,depends_on,需要 UDG 侧开启LTE与5G SA网络间互操作，使用户可以在5G和4G网络之间切换，才能启用EPS Fallback特性。,无,overview_explicit,
GWFD-020300:dep:GWFD-020301,GWFD-020300,GWFD-020301,depends_on,如果需要基于业务粒度对用户业务进行在线计费，需要同时开启内容计费基本功能。,82209822 内容计费基本功能,overview_explicit,
GWFD-020301:dep:GWFD-110101,GWFD-020301,GWFD-110101,depends_on,内容计费首先需要识别出业务类型，然后针对不同业务实施不同费率的计费，所以必须先开启SA特性。,82209749 SA-Basic,overview_explicit,
GWFD-020301:dep:GWFD-020300,GWFD-020301,GWFD-020300,depends_on,在线计费是计费基础功能之一，如果使用在线计费系统进行内容计费，需要开启在线计费。,82209821 在线计费,overview_explicit,
GWFD-020301:dep:GWFD-010171,GWFD-020301,GWFD-010171,depends_on,离线计费是计费基础功能之一，如果使用离线计费系统进行内容计费，需要开启离线计费。,无,overview_explicit,
GWFD-020302:dep:GWFD-020301,GWFD-020302,GWFD-020301,depends_on,基于业务时长的计费是内容计费的增强形式，所以使用基于业务时长的计费前，需要先开启内容计费功能。,82209822 内容计费基本功能,overview_explicit,
GWFD-020302:dep:GWFD-110101,GWFD-020302,GWFD-110101,depends_on,内容计费首先需要识别出业务类型，然后针对不同业务实施不同费率的计费，所以必须先开启SA特性。,82209749 SA-Basic,overview_explicit,
GWFD-020303:dep:GWFD-020301,GWFD-020303,GWFD-020301,depends_on,基于业务流量的计费是内容计费的增强形式，所以使用基于业务流量的计费前，需要先开启内容计费功能。,82209822 内容计费基本功能,overview_explicit,
GWFD-020303:dep:GWFD-110101,GWFD-020303,GWFD-110101,depends_on,内容计费首先需要识别出业务类型，然后针对不同业务实施不同费率的计费，所以必须先开启SA特性。,82209749 SA-Basic,overview_explicit,
GWFD-020304:dep:GWFD-020301,GWFD-020304,GWFD-020301,depends_on,关联URL核减功能关键技术是支持识别Referer字段，该特性是内容计费的增强特性，所以需要开启内容计费基本功能。,82209822 内容计费基本功能,overview_explicit,
GWFD-020304:dep:GWFD-110103,GWFD-020304,GWFD-110103,depends_on,关联URL核减功能可能需要对HTTP业务进行识别解析，所以需要开启SA-Web Browsing功能。,82209755 SA-WebBrowsing,overview_explicit,
GWFD-020305:dep:GWFD-020301,GWFD-020305,GWFD-020301,depends_on,由于终端异常下行流量检测是基于业务流进行的检测，因此需开启内容计费基本功能。,82209822 内容计费基本功能,overview_explicit,
GWFD-020306:dep:GWFD-020301,GWFD-020306,GWFD-020301,interacts_with,事件计费是内容计费的增强特性，所以使用事件计费，需要先开启内容计费功能。,,overview_explicit,
GWFD-020306:dep:GWFD-110101,GWFD-020306,GWFD-110101,interacts_with,内容计费首先需要识别出业务类型，然后针对不同业务实施不同费率的计费，所以必须先开启SA特性。,,overview_explicit,
GWFD-020306:dep:GWFD-110103,GWFD-020306,GWFD-110103,interacts_with,如果对HTTP业务进行事件计费，需要开启SA-Web Browsing功能对HTTP业务进行解析。,,overview_explicit,
GWFD-020306:dep:GWFD-110105,GWFD-020306,GWFD-110105,interacts_with,如果对WAP或者MMS业务进行事件计费，需要开启SA-Mobile功能对WAP或者MMS业务进行解析。,,overview_explicit,
GWFD-020306:dep:GWFD-010173,GWFD-020306,GWFD-010173,interacts_with,融合计费是计费基础功能之一，如果使用事件计费功能，需要开启融合计费。,,overview_explicit,
GWFD-020306:dep:GWFD-020300,GWFD-020306,GWFD-020300,interacts_with,在线计费是计费基础功能之一，如果使用OCS进行内容计费，需要开启在线计费。,,overview_explicit,
GWFD-020306:dep:GWFD-010171,GWFD-020306,GWFD-010171,interacts_with,离线计费是计费基础功能之一，如果使用CG进行内容计费，需要开启离线计费。,,overview_explicit,
GWFD-020308:dep:GWFD-020301,GWFD-020308,GWFD-020301,depends_on,只有在内容计费的计费模式下才支持7层流量统计，所以使用7层流量统计前，需要先开启内容计费功能。,82209822 内容计费基本功能,overview_explicit,
GWFD-020308:dep:GWFD-110101,GWFD-020308,GWFD-110101,depends_on,使用7层流量统计前，需要先开启SA特性。对于不同的业务，还需要使能相应业务的协议解析。,82209749 SA-Basic,overview_explicit,
GWFD-020352:dep:GWFD-110101,GWFD-020352,GWFD-110101,depends_on,需要对用户上下行数据进行识别解析，必须开启业务感知功能。,82209749 SA-Basic,overview_explicit,
GWFD-020352:dep:GWFD-020401,GWFD-020352,GWFD-020401,depends_on,UDG 需要建立IPv6承载上下文，因此需开启IPv6承载上下文特性。,82209828 IPv6承载上下文,overview_explicit,
GWFD-020352:dep:GWFD-020403,GWFD-020352,GWFD-020403,depends_on,如果需要对IPv4v6双栈接入用户的业务进行解析，则需要先开启IPv4v6双栈接入特性。,82209829 IPv4v6双栈接入,overview_explicit,
GWFD-020352:dep:GWFD-020402,GWFD-020352,GWFD-020402,depends_on,UDG 与其他网元采用N6/Gi/SGi接口IPv6组网支持IPv6业务，因此需要开启N6/Gi/SGi接口IPv6组网特性。,81203213 N6/Gi/SGi接口IPv6组网,overview_explicit,
GWFD-020353:dep:GWFD-020351,GWFD-020353,GWFD-020351,depends_on,UDG 需要将用户在一段时间内的累计流量上报给PGW-C/SMF，PGW-C/SMF再上报给PCRF/PCF，累计流量达到指定阈值时，PCRF/PCF下发不同的策略给PGW-C/SMF，PGW-C/SMF再下发给PGW-U/UPF，因此需开启PCC基本功能特性以获取策略。,82209825 PCC 基本功能,overview_explicit,
GWFD-020354:dep:GWFD-110101,GWFD-020354,GWFD-110101,depends_on,需要对用户上下行数据进行识别解析，必须开启业务感知功能。,82209749 SA-Basic,overview_explicit,
GWFD-020354:dep:GWFD-110311,GWFD-020354,GWFD-110311,depends_on,依赖于基于业务感知的带宽控制功能对业务的区分与匹配，必须开启基于业务感知的带宽控制。,82209832 基于业务感知的带宽控制,overview_explicit,
GWFD-020356:dep:GWFD-020300,GWFD-020356,GWFD-020300,depends_on,计费信息实时提醒功能通过扩展标准Gy接口实现OCS下发一次重定向（One-shot Redirection）策略，因此使用本特性需要开启在线计费功能。,82209821 在线计费,overview_explicit,
GWFD-020356:dep:GWFD-110103,GWFD-020356,GWFD-110103,depends_on,计费信息实时提醒功能针对URL白名单中的业务进行重定向，这些功能的使用需要先开启业务解析功能。,82209755 SA-Web Browsing,overview_explicit,
GWFD-020357:dep:GWFD-020351,GWFD-020357,GWFD-020351,depends_on,PCRF/PCF下发携带Application ID的PCC规则给 UDG ，所以开通增强的ADC基本功能必须同时开启PCC基本功能。,82209825 PCC 基本功能,overview_explicit,
GWFD-020358:dep:GWFD-110101,GWFD-020358,GWFD-110101,depends_on,UDG 需要根据用户请求的业务判断是否建立专有承载/专有QoS Flow，因此需开启SA-Basic功能进行业务识别。,82209749 SA-Basic,overview_explicit,
GWFD-020358:dep:GWFD-020351,GWFD-020358,GWFD-020351,depends_on,UDG 可以使用PCRF/PCF下发的QoS参数建立专有承载/专有QoS Flow，此时需开启基本PCC功能以从PCRF/PCF获取规则。,82209825 PCC基本功能,overview_explicit,
GWFD-020359:dep:GWFD-020351,GWFD-020359,GWFD-020351,depends_on,PCRF下发IM类业务的PCC规则给 UDG ，所以开通IM类业务无线资源管必须同时开启PCC基本功能。,82209825 PCC 基本功能,overview_explicit,
GWFD-020401:dep:GWFD-020402,GWFD-020401,GWFD-020402,depends_on,在N6/Gi/SGi接口具备支持IPv6的能力时，需要使用N6/Gi/SGi接口IPv6组网，配合共同完成IPv6用户的业务接入功能。,无,overview_explicit,
GWFD-020402:dep:GWFD-020401,GWFD-020402,GWFD-020401,depends_on,一般情况下，本特性与IPv6承载上下文配合，共同完成IPv6用户的业务接入功能。,82209828 IPv6承载上下文,overview_explicit,
GWFD-020403:dep:GWFD-020402,GWFD-020403,GWFD-020402,depends_on,在N6/Gi/SGi接口已经支持IPv4的情况下，再同时部署N6/Gi/SGi接口IPv6组网，配合共同完成IPv4v6用户的业务接入功能。,无,overview_explicit,
GWFD-020404:dep:GWFD-020301,GWFD-020404,GWFD-020301,depends_on,如果需要基于业务粒度对IPv6用户/IPv4v6双栈用户业务进行在线计费，需要同时开启内容计费基本功能。,82209822 内容计费基本功能,overview_explicit,
GWFD-020405:dep:GWFD-010226,GWFD-020405,GWFD-010226,depends_on,Gn/Gp接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:GWFD-010225,GWFD-020405,GWFD-010225,depends_on,SGi/Gi接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:GWFD-010228,GWFD-020405,GWFD-010228,depends_on,S1-U接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:GWFD-010229,GWFD-020405,GWFD-010229,depends_on,S5/S8接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:GWFD-010221,GWFD-020405,GWFD-010221,depends_on,N3接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:GWFD-010223,GWFD-020405,GWFD-010223,depends_on,N9接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:GWFD-010224,GWFD-020405,GWFD-010224,depends_on,N4接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:GWFD-010232,GWFD-020405,GWFD-010232,depends_on,Sxa接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:GWFD-010233,GWFD-020405,GWFD-010233,depends_on,Sxb接口需要IPv6承载时，需要启用本特性。,无,overview_explicit,
GWFD-020405:dep:IPFD-014000,GWFD-020405,IPFD-014000,depends_on,逻辑接口配置静态路由或者逻辑接口相关的IPv6路由需要通过动态路由协议发布时，需要启用路由功能。,无,overview_explicit,
GWFD-020406:dep:GWFD-020401,GWFD-020406,GWFD-020401,depends_on,UDG 需要建立IPv6承载上下文，因此需开启IPv6承载上下文特性。,82209828 IPv6承载上下文,overview_explicit,
GWFD-020406:dep:GWFD-020403,GWFD-020406,GWFD-020403,depends_on,如果需要对IPv4v6双栈接入用户的业务进行解析，则需要先开启IPv4v6双栈接入特性。,82209829 IPv4v6双栈接入,overview_explicit,
GWFD-020406:dep:GWFD-020412,GWFD-020406,GWFD-020412,conflicts_with,L2TP VPN通过LNS设备实现了手机后路由功能，所以在同一APN下，L2TP VPN和手机后路由功能无需同时部署。,82200BVC L2TP VPN,overview_explicit,conflict:GWFD-020406-GWFD-020412
GWFD-020406:dep:GWFD-010108,GWFD-020406,GWFD-010108,conflicts_with,手机后路由用户不能做用户面地址自动检测。,-,overview_explicit,conflict:GWFD-010108-GWFD-020406
GWFD-020406:dep:GWFD-020482,GWFD-020406,GWFD-020482,conflicts_with,手机后路由用户不支持入不转板功能。,-,overview_explicit,conflict:GWFD-020406-GWFD-020482
GWFD-020406:dep:GWFD-020531,GWFD-020406,GWFD-020531,conflicts_with,手机后路由用户不支持通用DNN漫游分流功能。,82200GCJ LKV3G5STCA01 移动VPN智能分流园区接入,overview_explicit,conflict:GWFD-020406-GWFD-020531
GWFD-020412:dep:GWFD-010108,GWFD-020412,GWFD-010108,conflicts_with,L2TP VPN不支持与用户面地址自动检测功能同时应用。,无,overview_explicit,conflict:GWFD-010108-GWFD-020412
GWFD-020412:dep:GWFD-020482,GWFD-020412,GWFD-020482,conflicts_with,APN下开启L2TP VPN特性，则不支持入不转板功能。,无,overview_explicit,conflict:GWFD-020412-GWFD-020482
GWFD-020421:dep:GWFD-010105,GWFD-020421,GWFD-010105,depends_on,基于位置的地址分配是 UDG 通过本地地址池根据用户位置动态分配IP地址，因此使用本特性需要依赖于用户面地址分配特性。,无,overview_explicit,
GWFD-020421:dep:GWFD-020412,GWFD-020421,GWFD-020412,conflicts_with,基于位置的地址分配特性不支持与L2TP VPN功能同时应用。,82200BVC LKV3G5L2TP01 L2TP VPN,overview_explicit,conflict:GWFD-020412-GWFD-020421
GWFD-020423:dep:IPFD-014000,GWFD-020423,IPFD-014000,depends_on,路由交叉功能依赖BGP特性。,-,overview_explicit,
GWFD-020482:dep:GWFD-111201,GWFD-020482,GWFD-111201,conflicts_with,网络加速卡场景，不支持入不转板功能。,82200EBL LKV3G5NPTO01 网络加速卡流量加速单元,overview_explicit,conflict:GWFD-020482-GWFD-111201
GWFD-020482:dep:GWFD-010107,GWFD-020482,GWFD-010107,conflicts_with,应用静态地址用户路由冗余功能的会话，不支持下行入不转板。,-,overview_explicit,conflict:GWFD-010107-GWFD-020482
GWFD-020482:dep:GWFD-020412,GWFD-020482,GWFD-020412,conflicts_with,应用L2TP VPN功能的会话，不支持下行入不转板。,82200BVC LKV3G5L2TP01 L2TP VPN,overview_explicit,conflict:GWFD-020412-GWFD-020482
GWFD-020482:dep:GWFD-110910,GWFD-020482,GWFD-110910,conflicts_with,手机后路由用户的IPv4业务报文，不支持入不转板。,82200CKP LKV3G5RBMS01 支持Routing Behind MS,overview_explicit,conflict:GWFD-020482-GWFD-110910
GWFD-020482:dep:GWFD-020406,GWFD-020482,GWFD-020406,conflicts_with,手机后路由用户的IPv6业务报文，不支持入不转板。,82200CKF LKV3G5P6PD01 IPv6 Prefix Delegation,overview_explicit,conflict:GWFD-020406-GWFD-020482
GWFD-020482:dep:GWFD-010105,GWFD-020482,GWFD-010105,depends_on,仅UPF分配UE IP地址的会话，支持下行入不转板功能。,-,overview_explicit,
GWFD-020482:dep:GWFD-010104,GWFD-020482,GWFD-010104,affects,外部NF分配UE IP地址（例如采用UDM给UE分配的静态签约地址、SMF分配地址、AAA服务器分配地址）的会话，不支持下行入不转板功能。,-,overview_explicit,
GWFD-020501:dep:GWFD-020412,GWFD-020501,GWFD-020412,conflicts_with,辅锚点UPF不支持同企业之间建立L2TP隧道。,82200BVC L2TP VPN,overview_explicit,conflict:GWFD-020412-GWFD-020501
GWFD-020501:dep:GWFD-110910,GWFD-020501,GWFD-110910,conflicts_with,IPv4手机后路由用户不支持ULCL分流功能。,82200CKP 支持Routing Behind MS,overview_explicit,conflict:GWFD-020501-GWFD-110910
GWFD-020501:dep:GWFD-020406,GWFD-020501,GWFD-020406,conflicts_with,IPv6 Prefix Delegation用户不支持ULCL分流功能。,82200CKF IPv6 Prefix Delegation,overview_explicit,conflict:GWFD-020406-GWFD-020501
