id,feature_id,license_number,license_code,license_name,applicable_nf
GWFD-000101:license:81203357,GWFD-000101,81203357,LKV3G5UDGP01,UDG-基本功能包,
GWFD-000102:license:81203357,GWFD-000102,81203357,LKV3G5UDGP01,UDG-基本功能包,
GWFD-000103:license:81203357,GWFD-000103,81203357,LKV3G5UDGP01,UDG-基本功能包,
GWFD-020101:license:82209870,GWFD-020101,82209870,LKV3G5SRQS01,支持Reflective QoS,
GWFD-020154:license:82200DEQ,GWFD-020154,82200DEQ,LKV3G5UPLR01,用户面负载信息上报,
GWFD-020161:license:82209861,GWFD-020161,82209861,LKV3G5CUFM01,CU Full Mesh组网,
GWFD-020251:license:82209873,GWFD-020251,82209873,LKV3G5VLEF01,VoLTE基础语音业务 ”,
GWFD-020252:license:82209831,GWFD-020252,82209831,LKV3G5RVCC01,SRVCC,
GWFD-020253:license:82200AFH,GWFD-020253,82200AFH,LKV3G5IMSR01,P-CSCF故障时IMS业务恢复 ”,
GWFD-020281:license:82200ELG,GWFD-020281,82200ELG,LKV3G5VONR01,VoNR基础语音业务 ”,
GWFD-020282:license:82209874,GWFD-020282,82209874,LKV3G5EPSF01,EPS Fallback,
GWFD-020300:license:82209821,GWFD-020300,82209821,LKV3G5OLCH01,在线计费,
GWFD-020301:license:82209822,GWFD-020301,82209822,LKV3G5BCBC01,内容计费基本功能,
GWFD-020302:license:82209823,GWFD-020302,82209823,LKV3G5TBCS01,基于业务时长的计费,
GWFD-020303:license:82209824,GWFD-020303,82209824,LKV3G5VBCS01,基于业务流量的计费,
GWFD-020304:license:82200AFJ,GWFD-020304,82200AFJ,LKV3G5RUCF01,关联URL核减,
GWFD-020305:license:82200BAJ,GWFD-020305,82200BAJ,LKV3G5ADTD01,终端异常下行流量检测,
GWFD-020306:license:82200CKE,GWFD-020306,82200CKE,LKV3G5EBCS01,支持事件计费,
GWFD-020307:license:82200DER,GWFD-020307,82200DER,LKV3G5TCPR01,TCP重传识别,
GWFD-020351:license:82209825,GWFD-020351,82209825,LKV3G5PCCB01,PCC 基本功能,
GWFD-020352:license:82200AFL,GWFD-020352,82200AFL,LKV3G5SAV601,IPv6 SA ”,
GWFD-020353:license:82200AFM,GWFD-020353,82200AFM,LKV3G5PCBT01,基于累计流量的策略控制,
GWFD-020354:license:82200AFN,GWFD-020354,82200AFN,LKV3G5SBTS01,基于业务的Shaping,
GWFD-020356:license:82209826,GWFD-020356,82209826,LKV3G5RCIN01,计费信息实时提醒,
GWFD-020357:license:82200AFK,GWFD-020357,82200AFK,LKV3G5ADCF01,增强的ADC基本功能,
GWFD-020358:license:82200AFP,GWFD-020358,82200AFP,LKV3G5STQE01,业务触发的QoS保证 ”,
GWFD-020359:license:82200BLD,GWFD-020359,82200BLD,LKV3G5ITSR01,IM类业务无线资源管控,
GWFD-020381:license:82209827,GWFD-020381,82209827,LKV3G5TCQS01,会话类QoS保证,
GWFD-020401:license:82209828,GWFD-020401,82209828,LKV3G5V6PB01,IPv6承载上下文,
GWFD-020402:license:81203213,GWFD-020402,81203213,LKV3G5V6NF01,N6/Gi/SGi接口IPv6组网,
GWFD-020403:license:82209829,GWFD-020403,82209829,LKV3G5VDSA01,IPv4v6双栈接入,
GWFD-020404:license:82209830,GWFD-020404,82209830,LKV3G5V6OC01,IPv6 在线计费,
GWFD-020405:license:81203214,GWFD-020405,81203214,LKV3G5V6LI01,逻辑接口支持IPv6,
GWFD-020406:license:82200CKF,GWFD-020406,82200CKF,LKV3G5P6PD01,IPv6 Prefix Delegation,
GWFD-020412:license:82200BVC,GWFD-020412,82200BVC,LKV3G5L2TP01,L2TP VPN,
GWFD-020421:license:82200BAK,GWFD-020421,82200BAK,LKV3G5LBAA01,基于位置的地址分配,
GWFD-020422:license:82200BLC,GWFD-020422,82200BLC,LKV3G5DTTL01,Direct Tunnel功能,
GWFD-020451:license:81203447,GWFD-020451,81203447,LKV3G5E2ET01,端到端用户跟踪,
GWFD-020502:license:82200GCK,GWFD-020502,82200GCK,LKV3G5ULCA01,移动VPN ULCL分流园区接入,
GWFD-020531:license:82200GCJ,GWFD-020531,82200GCJ,LKV3G5STCA01,移动VPN智能分流园区接入,
GWFD-110101:license:82209749,GWFD-110101,82209749,LKV3G5SABS01,SA-Basic,
GWFD-110102:license:82209754,GWFD-110102,82209754,LKV3G5HPWC01,SA-HTTP Pipeline & WAP Concatenation,
GWFD-110103:license:82209755,GWFD-110103,82209755,LKV3G5SAWB01,SA-Web Browsing,
GWFD-110104:license:82209756,GWFD-110104,82209756,LKV3G5SAFA01,SA-File Access,
GWFD-110105:license:82209757,GWFD-110105,82209757,LKV3G5SAMB01,SA-Mobile,
GWFD-110106:license:82209758,GWFD-110106,82209758,LKV3G5SAOS01,SA-Others,
GWFD-110107:license:82209759,GWFD-110107,82209759,LKV3G5SAST01,SA-Streaming,
GWFD-110131:license:82209760,GWFD-110131,82209760,LKV3G5SP2P01,SA-P2P,
GWFD-110132:license:82209761,GWFD-110132,82209761,LKV3G5SVOIP01,SA-VOIP,
GWFD-110133:license:82209762,GWFD-110133,82209762,LKV3G5EMAL01,SA-Email,
GWFD-110134:license:82209763,GWFD-110134,82209763,LKV3G5SAIM01,SA-IM,
GWFD-110135:license:82209764,GWFD-110135,82209764,LKV3G5GAME01,SA-Game,
GWFD-110136:license:82209765,GWFD-110136,82209765,LKV3G5SANA01,SA-Network Administration,
GWFD-110137:license:82209766,GWFD-110137,82209766,LKV3G5SARC01,SA-Remote Connectivity,
GWFD-110138:license:82209767,GWFD-110138,82209767,LKV3G5SANS01,SA-Network Storage,
GWFD-110139:license:82209768,GWFD-110139,82209768,LKV3G5SATN01,SA-Tunneling,
GWFD-110140:license:82209769,GWFD-110140,82209769,LKV3G5STOK01,SA-Stock,
GWFD-110141:license:82209770,GWFD-110141,82209770,LKV3G5SADB01,SA-Database,
GWFD-110142:license:82209771,GWFD-110142,82209771,LKV3G5QUIC01,SA-QUIC,
GWFD-110201:license:82209773,GWFD-110201,82209773,LKV3G5HSHA01,HTTP2,
GWFD-110202:license:82209774,GWFD-110202,82209774,LKV3G5H2PF01,HTTP2.0协议回落,
GWFD-110203:license:82209775,GWFD-110203,82209775,LKV3G5HSAP01,HTTPS 业务地址识别,
GWFD-110251:license:82200FCJ,GWFD-110251,82200FCJ,LKV3G5HP3W01,HTTP3,
GWFD-110252:license:82200FCK,GWFD-110252,82200FCK,LKV3G5HP3N01,HTTP3,
GWFD-110261:license:82209777,GWFD-110261,82209777,LKV3G5HTHE01,HTTP头增强,
GWFD-110262:license:82209778,GWFD-110262,82209778,LKV3G5RTHE01,RTSP头增强,
GWFD-110263:license:82209779,GWFD-110263,82209779,LKV3G5HTSE01,HTTPS头增强,
GWFD-110281:license:82209780,GWFD-110281,82209780,LKV3G5CPPT01,用户Portal,
GWFD-110282:license:82209781,GWFD-110282,82209781,LKV3G5WEBP01,Web Proxy,
GWFD-110283:license:82209782,GWFD-110283,82209782,LKV3G5DNSO01,DNS纠错,
GWFD-110284:license:82209783,GWFD-110284,82209783,LKV3G5SHPR01,HTTP智能重定向,
GWFD-110301:license:82209784,GWFD-110301,82209784,LKV3G5RDSC01,基于终端系统的码率差异化控制,
GWFD-110302:license:82200EBQ,GWFD-110302,82200EBQ,LKV3G5SCUD01,基于上下行解耦的视频承载信令控制,
GWFD-110311:license:82209832,GWFD-110311,82209832,LKV3G5TCSA01,基于业务感知的带宽控制,
GWFD-110312:license:82209776,GWFD-110312,82209776,LKV3G5FPBS01,基于业务累计流量的策略控制,
GWFD-110313:license:82200FNS,GWFD-110313,82200FNS,LKV3G5FSHP01,基于智能Shaping的组级带宽控制,
GWFD-110321:license:82200CXK,GWFD-110321,82200CXK,LKV3G5MSFM01,支持内置百万级业务规则库,
GWFD-110331:license:82200DHE,GWFD-110331,82200DHE,LKV3G5WOFR01,基于业务流标识的无线资源优化,
GWFD-110332:license:82200DHW,GWFD-110332,82200DHW,LKV3G5WOCR01,基于小区负荷上报的无线资源优化,
GWFD-110401:license:82209786,GWFD-110401,82209786,LKV3G5HHAS01,HTTP头防欺诈,
GWFD-110402:license:82209787,GWFD-110402,82209787,LKV3G5DCAS01,DNS计费防欺诈,
GWFD-110403:license:82209788,GWFD-110403,82209788,LKV3G5HCAS01,HTTP计费防欺诈,
GWFD-110404:license:82209789,GWFD-110404,82209789,LKV3G5HSBI01,HTTPS业务行为识别,
GWFD-110471:license:82200FCP,GWFD-110471,82200FCP,LKV3G5UFBF01,URL 过滤基本功能,
GWFD-110481:license:82200ECT,GWFD-110481,82200ECT,LKV3G5SPRD01,业务处理单元可靠性可定义,
GWFD-110482:license:82200ECV,GWFD-110482,82200ECV,LKV3G5DFTI01,磁盘故障隔离,
GWFD-110501:license:81202580,GWFD-110501,81202580,LKV6CKTSOU0,基于综合KPI的扩容能力增强,
GWFD-110551:license:81203216,GWFD-110551,81203216,LKV3G5UHBB01,5G超高带宽基本功能 1Gbps峰值速率,
GWFD-110552:license:82209857,GWFD-110552,82209857,LKV3G5UHBA01,5G超高带宽承载接入 1Gbps峰值速率”,
GWFD-110553:license:81203217,GWFD-110553,81203217,LKV3G5UHBB02,5G超高带宽基本功能 2Gbps峰值速率,
GWFD-110554:license:82209858,GWFD-110554,82209858,LKV3G5UHBA02,5G超高带宽承载接入 2Gbps峰值速率”,
GWFD-110555:license:81203218,GWFD-110555,81203218,LKV3G5UHBB05,5G超高带宽基本功能 5Gbps峰值速率,
GWFD-110556:license:82209859,GWFD-110556,82209859,LKV3G5UHBA05,5G超高带宽承载接入 5Gbps峰值速率,
GWFD-110557:license:81203624,GWFD-110557,81203624,LKV3G5UHBB10,5G超高带宽基本功能 10Gbps峰值速率,
GWFD-110558:license:82200EAE,GWFD-110558,82200EAE,LKV3G5UHBA10,5G超高带宽承载接入 10Gbps峰值速率,
GWFD-110559:license:81203625,GWFD-110559,81203625,LKV3G5UHBB20,5G超高带宽基本功能 20Gbps峰值速率,
GWFD-110560:license:82200EAF,GWFD-110560,82200EAF,LKV3G5UHBA20,5G超高带宽承载接入 20Gbps峰值速率,
GWFD-110581:license:82200BAL,GWFD-110581,82200BAL,LKV3G5TSQA01,超高带宽TCP业务质量分析,
GWFD-110582:license:82200BVB,GWFD-110582,82200BVB,LKV3G5USQA01,超高带宽UDP业务质量分析,
GWFD-110601:license:82200CKC,GWFD-110601,82200CKC,LKV3G5NDRX01,NB-IoT eDRX模式,
GWFD-110606:license:82200CKD,GWFD-110606,82200CKD,LKV3G5DOVN01,基于信令面的数据传输,
GWFD-110607:license:82200CKH,GWFD-110607,82200CKH,LKV3G5NOIP01,Non-IP数据传输,
GWFD-110611:license:82200CKJ,GWFD-110611,82200CKJ,LKV3G5ANRC01,基于APN的NB-IoT终端接入速率控制,
GWFD-110612:license:82200CKK,GWFD-110612,82200CKK,LKV3G5PNRC01,基于服务PLMN的NB-IoT终端接入速率控制,
GWFD-110641:license:82200CKL,GWFD-110641,82200CKL,LKV3G5MDRX01,eMTC eDRX模式,
GWFD-110646:license:82200CKM,GWFD-110646,82200CKM,LKV3G5AMRC01,基于APN的eMTC终端接入速率控制,
GWFD-110647:license:82200CKN,GWFD-110647,82200CKN,LKV3G5PMRC01,基于服务PLMN的eMTC终端接入速率控制,
GWFD-110661:license:82200FYD,GWFD-110661,82200FYD,LKV3G5EDRX01,5G eDRX模式,
GWFD-110662:license:82200GUE,GWFD-110662,82200GUE,LKV3G5RED001,支持RedCap接入功能,
GWFD-110910:license:82200CKP,GWFD-110910,82200CKP,LKV3G5RBMS01,支持Routing Behind MS,
GWFD-110921:license:82200DHF,GWFD-110921,82200DHF,LKV3G5TWMP01,支持TWAMP,
GWFD-110941:license:82200DHV,GWFD-110941,82200DHV,LKV3G5IPSM01,基于基站粒度的IPSQM,
GWFD-111201:license:82200EBL,GWFD-111201,82200EBL,LKV3G5NPTO01,网络加速卡流量加速单元,
GWFD-111251:license:81203630,GWFD-111251,81203630,LKV3G5HLUG01,灰度升级解决方案增值包基本功能,
GWFD-111252:license:81203937,GWFD-111252,81203937,LKV3G5HLUG02,支持灰度拨测和发布,
GWFD-111253:license:81203938,GWFD-111253,81203938,LKV3G5HLUG03,支持灰度升级无损回退,
GWFD-111286:license:82200HHU,GWFD-111286,82200HHU,LKV3G5ANAR01,重点用户质差监测和保障,
GWFD-111301:license:82200CXL,GWFD-111301,82200CXL,LKV3G5IARG01,智能分析记录生成,
GWFD-111302:license:82200CXM,GWFD-111302,82200CXM,LKV3G5FSFR01,业务全样分析上报,
GWFD-111303:license:82200CXN,GWFD-111303,82200CXN,LKV3G5TTIR01,阻塞流量分析上报,
GWFD-111304:license:82200CXP,GWFD-111304,82200CXP,LKV3G5TDIR01,TCP/UDP传输分析上报,
GWFD-111305:license:82200CXQ,GWFD-111305,82200CXQ,LKV3G5RSLR01,用户实时位置分析上报,
GWFD-111306:license:82200CXR,GWFD-111306,82200CXR,LKV3G5VOIR01,VOIP业务分析上报,
GWFD-111307:license:82200CXS,GWFD-111307,82200CXS,LKV3G5WBIR01,Web业务分析上报,
GWFD-111308:license:82200DGW,GWFD-111308,82200DGW,LKV3G5VOSR01,VoLTE业务质量上报,
GWFD-111309:license:82200DHX,GWFD-111309,82200DHX,LKV3G5PCRR01,PCC规则报表 ”,
GWFD-111310:license:82200DXM,GWFD-111310,82200DXM,LKV3G5RPQC01,QUIC业务分析上报 ”,
GWFD-111311:license:82200EAJ,GWFD-111311,82200EAJ,LKV3G5SARS01,业务分析上报订阅”,
GWFD-111312:license:82200EAK,GWFD-111312,82200EAK,LKV3G5SIAR01,系统级智能分析记录生成”,
GWFD-111313:license:82200EAL,GWFD-111313,82200EAL,LKV3G5RTSR01,业务实时分析上报”,
GWFD-111315:license:82200FCH,GWFD-111315,82200FCH,LKV3G5VRSR01,VoNR业务质量上报 ”,
GWFD-111401:license:82200ETE,GWFD-111401,82200ETE,LKV3G5UHBG01,5G超高带宽承载接入 1Gbps保障速率,
GWFD-111402:license:82200ETF,GWFD-111402,82200ETF,LKV3G5UHBG02,5G超高带宽承载接入 2Gbps保障速率,
GWFD-111600:license:81203996,GWFD-111600,81203996,LKV3G5SSDUC1,SA特征库更新管控,
GWFD-112000:license:82200HHX,GWFD-112000,82200HHX,LKV3G5DFBP01,双故障Bypass,
GWFD-112002:license:82200HTM,GWFD-112002,82200HTM,LKV3G55GHT01,5G-A高通量会话,
GWFD-112003:license:82200HHW,GWFD-112003,82200HHW,LKV3G5SNAC01,智网接入,
